STEP 1; EVENT position; UNIT Sim1; POSITION [4,4]
STEP 88; EVENT position; UNIT Sim1; POSITION [2,1]
STEP 89; EVENT position; UNIT Sim1; POSITION [1,1]
STEP 90; EVENT position; UNIT Sim1; POSITION [1,0]
STEP 91; EVENT position; UNIT Sim1; POSITION [1,1]
STEP 92; EVENT position; UNIT Sim1; POSITION [2,1]
STEP 93; EVENT position; UNIT Sim1; POSITION [2,2]
STEP 94; EVENT position; UNIT Sim1; POSITION [1,2]
STEP 95; EVENT position; UNIT Sim1; POSITION [0,2]
STEP 96; EVENT position; UNIT Sim1; POSITION [0,3]
STEP 97; EVENT position; UNIT Sim1; POSITION [0,4]
STEP 98; EVENT position; UNIT Sim1; POSITION [0,5]
STEP 99; EVENT position; UNIT Sim1; POSITION [0,6]
STEP 100; EVENT position; UNIT Sim1; POSITION [0,7]
STEP 101; EVENT position; UNIT Sim1; POSITION [0,8]
STEP 102; EVENT position; UNIT Sim1; POSITION [0,9]
STEP 103; EVENT position; UNIT Sim1; POSITION [1,9]
STEP 104; EVENT position; UNIT Sim1; POSITION [1,10]
STEP 105; EVENT position; UNIT Sim1; POSITION [0,10]
STEP 106; EVENT position; UNIT Sim1; POSITION [0,11]
STEP 107; EVENT position; UNIT Sim1; POSITION [0,12]
STEP 108; EVENT position; UNIT Sim1; POSITION [0,13]
STEP 109; EVENT position; UNIT Sim1; POSITION [1,13]
STEP 110; EVENT position; UNIT Sim1; POSITION [2,13]
STEP 111; EVENT position; UNIT Sim1; POSITION [3,13]
STEP 112; EVENT position; UNIT Sim1; POSITION [4,13]
STEP 113; EVENT position; UNIT Sim1; POSITION [4,14]
STEP 114; EVENT position; UNIT Sim1; POSITION [3,14]
STEP 115; EVENT position; UNIT Sim1; POSITION [2,14]
STEP 116; EVENT position; UNIT Sim1; POSITION [1,14]
STEP 117; EVENT position; UNIT Sim1; POSITION [1,15]
STEP 118; EVENT position; UNIT Sim1; POSITION [2,15]
STEP 119; EVENT position; UNIT Sim1; POSITION [2,16]
STEP 120; EVENT position; UNIT Sim1; POSITION [2,17]
STEP 121; EVENT position; UNIT Sim1; POSITION [3,17]
STEP 122; EVENT position; UNIT Sim1; POSITION [4,17]
STEP 123; EVENT position; UNIT Sim1; POSITION [5,17]
STEP 124; EVENT position; UNIT Sim1; POSITION [5,16]
STEP 125; EVENT position; UNIT Sim1; POSITION [4,16]
STEP 126; EVENT position; UNIT Sim1; POSITION [3,16]
STEP 127; EVENT position; UNIT Sim1; POSITION [3,15]
STEP 128; EVENT position; UNIT Sim1; POSITION [4,15]
STEP 129; EVENT position; UNIT Sim1; POSITION [5,15]
STEP 130; EVENT position; UNIT Sim1; POSITION [5,14]
STEP 131; EVENT position; UNIT Sim1; POSITION [5,13]
STEP 132; EVENT position; UNIT Sim1; POSITION [5,12]
STEP 133; EVENT position; UNIT Sim1; POSITION [6,12]
STEP 134; EVENT position; UNIT Sim1; POSITION [6,11]
STEP 135; EVENT position; UNIT Sim1; POSITION [7,11]
STEP 136; EVENT position; UNIT Sim1; POSITION [7,10]
STEP 137; EVENT position; UNIT Sim1; POSITION [8,10]
STEP 138; EVENT position; UNIT Sim1; POSITION [8,11]
STEP 139; EVENT position; UNIT Sim1; POSITION [9,11]
STEP 140; EVENT position; UNIT Sim1; POSITION [9,12]
STEP 141; EVENT position; UNIT Sim1; POSITION [9,13]
STEP 142; EVENT position; UNIT Sim1; POSITION [8,13]
STEP 143; EVENT position; UNIT Sim1; POSITION [8,12]
STEP 144; EVENT position; UNIT Sim1; POSITION [7,12]
STEP 145; EVENT position; UNIT Sim1; POSITION [7,13]
STEP 146; EVENT position; UNIT Sim1; POSITION [7,14]
STEP 147; EVENT position; UNIT Sim1; POSITION [6,14]
STEP 148; EVENT position; UNIT Sim1; POSITION [6,13]
STEP 149; EVENT position; UNIT Sim1; POSITION [6,14]
STEP 150; EVENT position; UNIT Sim1; POSITION [6,15]
STEP 151; EVENT position; UNIT Sim1; POSITION [6,16]
STEP 152; EVENT position; UNIT Sim1; POSITION [6,17]
STEP 153; EVENT position; UNIT Sim1; POSITION [7,17]
STEP 154; EVENT position; UNIT Sim1; POSITION [7,18]
STEP 155; EVENT position; UNIT Sim1; POSITION [8,18]
STEP 156; EVENT position; UNIT Sim1; POSITION [8,19]
STEP 157; EVENT position; UNIT Sim1; POSITION [7,19]
STEP 158; EVENT position; UNIT Sim1; POSITION [6,19]
STEP 159; EVENT position; UNIT Sim1; POSITION [5,19]
STEP 160; EVENT position; UNIT Sim1; POSITION [5,18]
STEP 161; EVENT position; UNIT Sim1; POSITION [4,18]
STEP 162; EVENT position; UNIT Sim1; POSITION [3,18]
STEP 163; EVENT position; UNIT Sim1; POSITION [2,18]
STEP 164; EVENT position; UNIT Sim1; POSITION [1,18]
STEP 165; EVENT position; UNIT Sim1; POSITION [1,17]
STEP 166; EVENT position; UNIT Sim1; POSITION [0,17]
STEP 167; EVENT position; UNIT Sim1; POSITION [0,16]
STEP 168; EVENT position; UNIT Sim1; POSITION [0,15]
STEP 169; EVENT position; UNIT Sim1; POSITION [0,14]
STEP 170; EVENT position; UNIT Sim1; POSITION [1,14]
STEP 171; EVENT position; UNIT Sim1; POSITION [0,14]
STEP 172; EVENT position; UNIT Sim1; POSITION [0,13]
STEP 173; EVENT position; UNIT Sim1; POSITION [0,14]
STEP 174; EVENT position; UNIT Sim1; POSITION [0,15]
STEP 175; EVENT position; UNIT Sim1; POSITION [0,16]
STEP 176; EVENT position; UNIT Sim1; POSITION [1,16]
STEP 177; EVENT position; UNIT Sim1; POSITION [1,15]
STEP 178; EVENT position; UNIT Sim1; POSITION [2,15]
STEP 179; EVENT position; UNIT Sim1; POSITION [1,15]
STEP 180; EVENT position; UNIT Sim1; POSITION [1,16]
STEP 181; EVENT position; UNIT Sim1; POSITION [1,17]
STEP 182; EVENT position; UNIT Sim1; POSITION [1,18]
STEP 183; EVENT position; UNIT Sim1; POSITION [0,18]
STEP 184; EVENT position; UNIT Sim1; POSITION [0,19]
STEP 185; EVENT position; UNIT Sim1; POSITION [1,19]
STEP 186; EVENT position; UNIT Sim1; POSITION [2,19]
STEP 187; EVENT position; UNIT Sim1; POSITION [3,19]
STEP 188; EVENT position; UNIT Sim1; POSITION [4,19]
STEP 189; EVENT position; UNIT Sim1; POSITION [4,20]
STEP 190; EVENT position; UNIT Sim1; POSITION [4,21]
STEP 191; EVENT position; UNIT Sim1; POSITION [5,21]
STEP 192; EVENT position; UNIT Sim1; POSITION [5,22]
STEP 193; EVENT position; UNIT Sim1; POSITION [5,23]
STEP 194; EVENT position; UNIT Sim1; POSITION [6,23]
STEP 195; EVENT position; UNIT Sim1; POSITION [7,23]
STEP 196; EVENT position; UNIT Sim1; POSITION [7,22]
STEP 197; EVENT position; UNIT Sim1; POSITION [6,22]
STEP 198; EVENT position; UNIT Sim1; POSITION [6,21]
STEP 199; EVENT position; UNIT Sim1; POSITION [7,21]
STEP 200; EVENT position; UNIT Sim1; POSITION [7,20]
STEP 201; EVENT position; UNIT Sim1; POSITION [6,20]
STEP 202; EVENT position; UNIT Sim1; POSITION [5,20]
STEP 203; EVENT position; UNIT Sim1; POSITION [6,20]
STEP 204; EVENT position; UNIT Sim1; POSITION [6,19]
STEP 205; EVENT position; UNIT Sim1; POSITION [6,18]
STEP 206; EVENT position; UNIT Sim1; POSITION [6,19]
STEP 207; EVENT position; UNIT Sim1; POSITION [7,19]
STEP 208; EVENT position; UNIT Sim1; POSITION [6,19]
STEP 209; EVENT position; UNIT Sim1; POSITION [6,20]
STEP 210; EVENT position; UNIT Sim1; POSITION [6,19]
STEP 211; EVENT position; UNIT Sim1; POSITION [6,20]
STEP 212; EVENT position; UNIT Sim1; POSITION [6,19]
STEP 213; EVENT position; UNIT Sim1; POSITION [7,19]
STEP 214; EVENT position; UNIT Sim1; POSITION [6,19]
STEP 215; EVENT position; UNIT Sim1; POSITION [5,19]
STEP 216; EVENT position; UNIT Sim1; POSITION [4,19]
STEP 217; EVENT position; UNIT Sim1; POSITION [3,19]
STEP 218; EVENT position; UNIT Sim1; POSITION [3,20]
STEP 219; EVENT position; UNIT Sim1; POSITION [3,21]
STEP 220; EVENT position; UNIT Sim1; POSITION [3,22]
STEP 221; EVENT position; UNIT Sim1; POSITION [3,23]
STEP 222; EVENT position; UNIT Sim1; POSITION [2,23]
STEP 223; EVENT position; UNIT Sim1; POSITION [2,24]
STEP 224; EVENT position; UNIT Sim1; POSITION [2,25]
STEP 225; EVENT position; UNIT Sim1; POSITION [2,26]
STEP 226; EVENT position; UNIT Sim1; POSITION [3,26]
STEP 227; EVENT position; UNIT Sim1; POSITION [4,26]
STEP 228; EVENT position; UNIT Sim1; POSITION [4,27]
STEP 229; EVENT position; UNIT Sim1; POSITION [5,27]
STEP 230; EVENT position; UNIT Sim1; POSITION [5,28]
STEP 231; EVENT position; UNIT Sim1; POSITION [6,28]
STEP 232; EVENT position; UNIT Sim1; POSITION [7,28]
STEP 233; EVENT position; UNIT Sim1; POSITION [7,27]
STEP 234; EVENT position; UNIT Sim1; POSITION [8,27]
STEP 235; EVENT position; UNIT Sim1; POSITION [8,26]
STEP 236; EVENT position; UNIT Sim1; POSITION [7,26]
STEP 237; EVENT position; UNIT Sim1; POSITION [6,26]
STEP 238; EVENT position; UNIT Sim1; POSITION [6,25]
STEP 239; EVENT position; UNIT Sim1; POSITION [7,25]
STEP 240; EVENT position; UNIT Sim1; POSITION [8,25]
STEP 241; EVENT position; UNIT Sim1; POSITION [8,24]
STEP 242; EVENT position; UNIT Sim1; POSITION [7,24]
STEP 243; EVENT position; UNIT Sim1; POSITION [6,24]
STEP 244; EVENT position; UNIT Sim1; POSITION [5,24]
STEP 245; EVENT position; UNIT Sim1; POSITION [4,24]
STEP 246; EVENT position; UNIT Sim1; POSITION [4,25]
STEP 247; EVENT position; UNIT Sim1; POSITION [5,25]
STEP 248; EVENT position; UNIT Sim1; POSITION [5,26]
STEP 249; EVENT position; UNIT Sim1; POSITION [5,27]
STEP 250; EVENT position; UNIT Sim1; POSITION [6,27]
STEP 251; EVENT position; UNIT Sim1; POSITION [6,26]
STEP 252; EVENT position; UNIT Sim1; POSITION [7,26]
STEP 253; EVENT position; UNIT Sim1; POSITION [6,26]
STEP 254; EVENT position; UNIT Sim1; POSITION [6,25]
STEP 255; EVENT position; UNIT Sim1; POSITION [7,25]
STEP 256; EVENT position; UNIT Sim1; POSITION [7,26]
STEP 257; EVENT position; UNIT Sim1; POSITION [6,26]
STEP 258; EVENT position; UNIT Sim1; POSITION [6,27]
STEP 259; EVENT position; UNIT Sim1; POSITION [7,27]
STEP 260; EVENT position; UNIT Sim1; POSITION [7,28]
STEP 261; EVENT position; UNIT Sim1; POSITION [8,28]
STEP 262; EVENT position; UNIT Sim1; POSITION [9,28]
STEP 263; EVENT position; UNIT Sim1; POSITION [10,28]
STEP 264; EVENT position; UNIT Sim1; POSITION [10,29]
STEP 265; EVENT position; UNIT Sim1; POSITION [9,29]
STEP 266; EVENT position; UNIT Sim1; POSITION [9,30]
STEP 267; EVENT position; UNIT Sim1; POSITION [9,31]
STEP 268; EVENT position; UNIT Sim1; POSITION [10,31]
STEP 269; EVENT position; UNIT Sim1; POSITION [11,31]
STEP 270; EVENT position; UNIT Sim1; POSITION [12,31]
STEP 271; EVENT position; UNIT Sim1; POSITION [12,32]
STEP 272; EVENT position; UNIT Sim1; POSITION [11,32]
STEP 273; EVENT position; UNIT Sim1; POSITION [10,32]
STEP 274; EVENT position; UNIT Sim1; POSITION [10,33]
STEP 275; EVENT position; UNIT Sim1; POSITION [11,33]
STEP 276; EVENT position; UNIT Sim1; POSITION [12,33]
STEP 277; EVENT position; UNIT Sim1; POSITION [12,34]
STEP 278; EVENT position; UNIT Sim1; POSITION [12,35]
STEP 279; EVENT position; UNIT Sim1; POSITION [12,36]
STEP 280; EVENT position; UNIT Sim1; POSITION [13,36]
STEP 281; EVENT position; UNIT Sim1; POSITION [14,36]
STEP 282; EVENT position; UNIT Sim1; POSITION [14,35]
STEP 283; EVENT position; UNIT Sim1; POSITION [14,34]
STEP 284; EVENT position; UNIT Sim1; POSITION [13,34]
STEP 285; EVENT position; UNIT Sim1; POSITION [13,33]
STEP 286; EVENT position; UNIT Sim1; POSITION [13,32]
STEP 287; EVENT position; UNIT Sim1; POSITION [13,31]
STEP 288; EVENT position; UNIT Sim1; POSITION [13,30]
STEP 289; EVENT position; UNIT Sim1; POSITION [12,30]
STEP 290; EVENT position; UNIT Sim1; POSITION [11,30]
STEP 291; EVENT position; UNIT Sim1; POSITION [11,29]
STEP 292; EVENT position; UNIT Sim1; POSITION [12,29]
STEP 293; EVENT position; UNIT Sim1; POSITION [13,29]
STEP 294; EVENT position; UNIT Sim1; POSITION [14,29]
STEP 295; EVENT position; UNIT Sim1; POSITION [14,30]
STEP 296; EVENT position; UNIT Sim1; POSITION [15,30]
STEP 297; EVENT position; UNIT Sim1; POSITION [16,30]
STEP 298; EVENT position; UNIT Sim1; POSITION [16,29]
STEP 299; EVENT position; UNIT Sim1; POSITION [15,29]
STEP 300; EVENT position; UNIT Sim1; POSITION [15,28]
STEP 301; EVENT position; UNIT Sim1; POSITION [14,28]
STEP 302; EVENT position; UNIT Sim1; POSITION [13,28]
STEP 303; EVENT position; UNIT Sim1; POSITION [12,28]
STEP 304; EVENT position; UNIT Sim1; POSITION [11,28]
STEP 305; EVENT position; UNIT Sim1; POSITION [11,27]
STEP 306; EVENT position; UNIT Sim1; POSITION [11,26]
STEP 307; EVENT position; UNIT Sim1; POSITION [10,26]
STEP 308; EVENT position; UNIT Sim1; POSITION [10,27]
STEP 309; EVENT position; UNIT Sim1; POSITION [9,27]
STEP 310; EVENT position; UNIT Sim1; POSITION [10,27]
STEP 311; EVENT position; UNIT Sim1; POSITION [9,27]
STEP 312; EVENT position; UNIT Sim1; POSITION [9,28]
STEP 313; EVENT position; UNIT Sim1; POSITION [10,28]
STEP 314; EVENT position; UNIT Sim1; POSITION [11,28]
STEP 315; EVENT position; UNIT Sim1; POSITION [11,29]
STEP 316; EVENT position; UNIT Sim1; POSITION [12,29]
STEP 317; EVENT position; UNIT Sim1; POSITION [12,28]
STEP 318; EVENT position; UNIT Sim1; POSITION [13,28]
STEP 319; EVENT position; UNIT Sim1; POSITION [14,28]
STEP 320; EVENT position; UNIT Sim1; POSITION [14,27]
STEP 321; EVENT position; UNIT Sim1; POSITION [15,27]
STEP 322; EVENT position; UNIT Sim1; POSITION [16,27]
STEP 323; EVENT position; UNIT Sim1; POSITION [16,26]
STEP 324; EVENT position; UNIT Sim1; POSITION [15,26]
STEP 325; EVENT position; UNIT Sim1; POSITION [15,25]
STEP 326; EVENT position; UNIT Sim1; POSITION [16,25]
STEP 327; EVENT position; UNIT Sim1; POSITION [16,24]
STEP 328; EVENT position; UNIT Sim1; POSITION [15,24]
STEP 329; EVENT position; UNIT Sim1; POSITION [14,24]
STEP 330; EVENT position; UNIT Sim1; POSITION [14,23]
STEP 331; EVENT position; UNIT Sim1; POSITION [15,23]
STEP 332; EVENT position; UNIT Sim1; POSITION [15,22]
STEP 333; EVENT position; UNIT Sim1; POSITION [15,21]
STEP 334; EVENT position; UNIT Sim1; POSITION [15,20]
STEP 335; EVENT position; UNIT Sim1; POSITION [14,20]
STEP 336; EVENT position; UNIT Sim1; POSITION [14,19]
STEP 337; EVENT position; UNIT Sim1; POSITION [14,18]
STEP 338; EVENT position; UNIT Sim1; POSITION [13,18]
STEP 339; EVENT position; UNIT Sim1; POSITION [13,19]
STEP 340; EVENT position; UNIT Sim1; POSITION [13,20]
STEP 341; EVENT position; UNIT Sim1; POSITION [12,20]
STEP 342; EVENT position; UNIT Sim1; POSITION [11,20]
STEP 343; EVENT position; UNIT Sim1; POSITION [10,20]
STEP 344; EVENT position; UNIT Sim1; POSITION [9,20]
STEP 345; EVENT position; UNIT Sim1; POSITION [8,20]
STEP 346; EVENT position; UNIT Sim1; POSITION [8,21]
STEP 347; EVENT position; UNIT Sim1; POSITION [8,22]
STEP 348; EVENT position; UNIT Sim1; POSITION [8,23]
STEP 349; EVENT position; UNIT Sim1; POSITION [8,22]
STEP 350; EVENT position; UNIT Sim1; POSITION [9,22]
STEP 351; EVENT position; UNIT Sim1; POSITION [9,21]
STEP 352; EVENT position; UNIT Sim1; POSITION [10,21]
STEP 353; EVENT position; UNIT Sim1; POSITION [11,21]
STEP 354; EVENT position; UNIT Sim1; POSITION [12,21]
STEP 355; EVENT position; UNIT Sim1; POSITION [12,22]
STEP 356; EVENT position; UNIT Sim1; POSITION [13,22]
STEP 357; EVENT position; UNIT Sim1; POSITION [13,23]
STEP 358; EVENT position; UNIT Sim1; POSITION [13,24]
STEP 359; EVENT position; UNIT Sim1; POSITION [13,25]
STEP 360; EVENT position; UNIT Sim1; POSITION [14,25]
STEP 361; EVENT position; UNIT Sim1; POSITION [15,25]
STEP 362; EVENT position; UNIT Sim1; POSITION [15,24]
STEP 363; EVENT position; UNIT Sim1; POSITION [14,24]
STEP 364; EVENT position; UNIT Sim1; POSITION [14,23]
STEP 365; EVENT position; UNIT Sim1; POSITION [14,22]
STEP 366; EVENT position; UNIT Sim1; POSITION [14,21]
STEP 367; EVENT position; UNIT Sim1; POSITION [13,21]
STEP 368; EVENT position; UNIT Sim1; POSITION [12,21]
STEP 369; EVENT position; UNIT Sim1; POSITION [12,22]
STEP 370; EVENT position; UNIT Sim1; POSITION [12,23]
STEP 371; EVENT position; UNIT Sim1; POSITION [11,23]
STEP 372; EVENT position; UNIT Sim1; POSITION [11,22]
STEP 373; EVENT position; UNIT Sim1; POSITION [10,22]
STEP 374; EVENT position; UNIT Sim1; POSITION [9,22]
STEP 375; EVENT position; UNIT Sim1; POSITION [9,21]
STEP 376; EVENT position; UNIT Sim1; POSITION [9,20]
STEP 377; EVENT position; UNIT Sim1; POSITION [9,19]
STEP 378; EVENT position; UNIT Sim1; POSITION [10,19]
STEP 379; EVENT position; UNIT Sim1; POSITION [11,19]
STEP 380; EVENT position; UNIT Sim1; POSITION [11,18]
STEP 381; EVENT position; UNIT Sim1; POSITION [11,17]
STEP 382; EVENT position; UNIT Sim1; POSITION [11,16]
STEP 383; EVENT position; UNIT Sim1; POSITION [12,16]
STEP 384; EVENT position; UNIT Sim1; POSITION [13,16]
STEP 385; EVENT position; UNIT Sim1; POSITION [14,16]
STEP 386; EVENT position; UNIT Sim1; POSITION [14,15]
STEP 387; EVENT position; UNIT Sim1; POSITION [14,14]
STEP 388; EVENT position; UNIT Sim1; POSITION [15,14]
STEP 389; EVENT position; UNIT Sim1; POSITION [16,14]
STEP 390; EVENT position; UNIT Sim1; POSITION [16,13]
STEP 391; EVENT position; UNIT Sim1; POSITION [15,13]
STEP 392; EVENT position; UNIT Sim1; POSITION [15,12]
STEP 393; EVENT position; UNIT Sim1; POSITION [14,12]
STEP 394; EVENT position; UNIT Sim1; POSITION [14,13]
STEP 395; EVENT position; UNIT Sim1; POSITION [13,13]
STEP 396; EVENT position; UNIT Sim1; POSITION [13,12]
STEP 397; EVENT position; UNIT Sim1; POSITION [12,12]
STEP 398; EVENT position; UNIT Sim1; POSITION [11,12]
STEP 399; EVENT position; UNIT Sim1; POSITION [10,12]
STEP 400; EVENT position; UNIT Sim1; POSITION [10,13]
STEP 401; EVENT position; UNIT Sim1; POSITION [11,13]
STEP 402; EVENT position; UNIT Sim1; POSITION [11,14]
STEP 403; EVENT position; UNIT Sim1; POSITION [11,15]
STEP 404; EVENT position; UNIT Sim1; POSITION [12,15]
STEP 405; EVENT position; UNIT Sim1; POSITION [12,14]
STEP 406; EVENT position; UNIT Sim1; POSITION [12,13]
STEP 407; EVENT position; UNIT Sim1; POSITION [12,14]
STEP 408; EVENT position; UNIT Sim1; POSITION [13,14]
STEP 409; EVENT position; UNIT Sim1; POSITION [13,15]
STEP 410; EVENT position; UNIT Sim1; POSITION [12,15]
STEP 411; EVENT position; UNIT Sim1; POSITION [13,15]
STEP 412; EVENT position; UNIT Sim1; POSITION [13,16]
STEP 413; EVENT position; UNIT Sim1; POSITION [13,17]
STEP 414; EVENT position; UNIT Sim1; POSITION [12,17]
STEP 415; EVENT position; UNIT Sim1; POSITION [12,18]
STEP 416; EVENT position; UNIT Sim1; POSITION [12,19]
STEP 417; EVENT position; UNIT Sim1; POSITION [13,19]
STEP 418; EVENT position; UNIT Sim1; POSITION [13,20]
STEP 419; EVENT position; UNIT Sim1; POSITION [13,19]
STEP 420; EVENT position; UNIT Sim1; POSITION [12,19]
STEP 421; EVENT position; UNIT Sim1; POSITION [11,19]
STEP 422; EVENT position; UNIT Sim1; POSITION [10,19]
STEP 423; EVENT position; UNIT Sim1; POSITION [10,18]
STEP 424; EVENT position; UNIT Sim1; POSITION [9,18]
STEP 425; EVENT position; UNIT Sim1; POSITION [9,17]
STEP 426; EVENT position; UNIT Sim1; POSITION [10,17]
STEP 427; EVENT position; UNIT Sim1; POSITION [10,16]
STEP 428; EVENT position; UNIT Sim1; POSITION [10,15]
STEP 429; EVENT position; UNIT Sim1; POSITION [10,14]
STEP 430; EVENT position; UNIT Sim1; POSITION [9,14]
STEP 431; EVENT position; UNIT Sim1; POSITION [8,14]
STEP 432; EVENT position; UNIT Sim1; POSITION [8,15]
STEP 433; EVENT position; UNIT Sim1; POSITION [8,16]
STEP 434; EVENT position; UNIT Sim1; POSITION [8,17]
STEP 435; EVENT position; UNIT Sim1; POSITION [9,17]
STEP 436; EVENT position; UNIT Sim1; POSITION [9,16]
STEP 437; EVENT position; UNIT Sim1; POSITION [9,15]
STEP 438; EVENT position; UNIT Sim1; POSITION [9,16]
STEP 439; EVENT position; UNIT Sim1; POSITION [9,15]
STEP 440; EVENT position; UNIT Sim1; POSITION [8,15]
STEP 441; EVENT position; UNIT Sim1; POSITION [7,15]
STEP 442; EVENT position; UNIT Sim1; POSITION [7,16]
STEP 443; EVENT position; UNIT Sim1; POSITION [7,15]
STEP 444; EVENT position; UNIT Sim1; POSITION [8,15]
STEP 445; EVENT position; UNIT Sim1; POSITION [7,15]
STEP 446; EVENT position; UNIT Sim1; POSITION [8,15]
STEP 447; EVENT position; UNIT Sim1; POSITION [7,15]
STEP 448; EVENT position; UNIT Sim1; POSITION [8,15]
STEP 449; EVENT position; UNIT Sim1; POSITION [9,15]
STEP 450; EVENT position; UNIT Sim1; POSITION [10,15]
